view_id,view,crypto,accuracy_down,accuracy_neutral,accuracy_up,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,f1_down,f1_neutral,f1_up,exec_time
J,snapshot-BINANCE--snapshot-HOUBI,BNB,0.0,1.0,0.000554016620498615,0.0,0.9031421492578785,1.0,0.0,1.0,0.000554016620498615,0.0,0.9491063498436569,0.0011074197120708748,1098.9833369255066
K,snapshot-BINANCE--snapshot-OKX,BNB,0.0,1.0,0.0,0.0,0.9031212373807539,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,1227.098219871521
L,snapshot-HOUBI--snapshot-OKX,BNB,0.0,1.0,0.0,0.0,0.9031189941417557,0.0,0.0,1.0,0.0,0.0,0.9490935636938801,0.0,607.0747919082642
J,snapshot-BINANCE--snapshot-HOUBI,DOGE,0.0,0.9999227679950572,0.0023223409196470044,0.0,0.8995553291027838,0.5,0.0,0.9999227679950572,0.0023223409196470044,0.0,0.947087366804028,0.004623208506703652,889.9186160564423
K,snapshot-BINANCE--snapshot-OKX,DOGE,0.0,0.9998455359901143,0.003251277287505806,0.0,0.8996316972041417,0.4375,0.0,0.9998455359901143,0.003251277287505806,0.0,0.9470950435895873,0.006454587367450438,684.4184756278992
L,snapshot-HOUBI--snapshot-OKX,DOGE,0.0,0.9999227679950572,0.0,0.0,0.8994303445720637,0.0,0.0,0.9999227679950572,0.0,0.0,0.94701809138343,0.0,672.097895860672
J,snapshot-BINANCE--snapshot-HOUBI,DOT,0.0,0.9996835693378688,0.00456968773800457,0.0,0.8784641764760404,0.4,0.0,0.9996835693378688,0.00456968773800457,0.0,0.9351620024913972,0.009036144578313253,1261.965614080429
K,snapshot-BINANCE--snapshot-OKX,DOT,0.0,0.9997363077815574,0.005331302361005331,0.0,0.8785715940954278,0.4,0.0,0.9997363077815574,0.005331302361005331,0.0,0.935245942079037,0.010522360015031942,6514.59773683548
L,snapshot-HOUBI--snapshot-OKX,DOT,0.0,0.9999472615563115,0.0015232292460015233,0.0,0.8782075034738305,0.5,0.0,0.9999472615563115,0.0015232292460015233,0.0,0.9351318693513188,0.003037205770690964,573.6875941753387
J,snapshot-BINANCE--snapshot-HOUBI,NEO,0.012091356918943126,0.9998450613298903,0.006756756756756757,0.5869565217391305,0.8984985960596849,0.38461538461538464,0.012091356918943126,0.9998450613298903,0.006756756756756757,0.02369460289600702,0.9464665477034393,0.013280212483399735,4592.488280773163
K,snapshot-BINANCE--snapshot-OKX,NEO,0.0049261083743842365,0.9998708844415752,0.0076576576576576575,0.55,0.8981049799364461,0.37777777777777777,0.0049261083743842365,0.9998708844415752,0.0076576576576576575,0.009764758100310697,0.9462596837654879,0.015011037527593819,3651.237550973892
L,snapshot-HOUBI--snapshot-OKX,NEO,0.0018323408153916628,0.0,0.9999732677502139,0.4,0.8667253643504251,0.3333333333333333,0.0018323408153916628,0.9999732677502139,0.0009229349330872173,0.0036479708162334696,0.9285935929102487,0.001840773124712379,531.6213450431824
J,snapshot-BINANCE--snapshot-HOUBI,SOL,0.0012919896640826874,0.9996226109928027,0.002671118530884808,0.26666666666666666,0.8593974507531865,0.34782608695652173,0.0012919896640826874,0.9996226109928027,0.002671118530884808,0.002571520411443266,0.9242214662230364,0.005301524188204109,8084.707927703857
K,snapshot-BINANCE--snapshot-OKX,SOL,0.001614987080103359,0.9995417419198318,0.002337228714524207,0.2777777777777778,0.8594673527571101,0.25925925925925924,0.001614987080103359,0.9995417419198318,0.002337228714524207,0.003211303789338471,0.9242273180458626,0.004632693580410324,9977.582720041275
L,snapshot-HOUBI--snapshot-OKX,SOL,0.001937984496124031,0.9998921745693722,0.001001669449081803,0.6,0.8591712412850624,0.6,0.001937984496124031,0.9998921745693722,0.001001669449081803,0.0038634900193174502,0.9242058054067521,0.002,570.1742660999298
M,snapshot-BINANCE--candles-BINANCE,AVAX,0.001143837575064341,0.9988417097494138,0.008616674429436423,0.36363636363636365,0.8205913753887574,0.4065934065934066,0.001143837575064341,0.9988417097494138,0.008616674429436423,0.002280501710376283,0.9009849266720181,0.016875712656784492,252.65240025520325
