,view_id,view,crypto,accuracy_down,accuracy_neutral,accuracy_up,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,f1_down,f1_neutral,f1_up,exec_time,learning_rate,max_iter,max_leaf_nodes
43,A,candles-BINANCE,SOL,0.0322997416020671,0.9941504703884412,0.0213689482470784,0.3257328990228013,0.8648344432980021,0.270042194092827,0.0322997416020671,0.9941504703884412,0.0213689482470784,0.0587716720540699,0.924994670244918,0.0396039603960396,19.10736989974976,0.5,150.0,100.0
44,A,candles-BINANCE,SOL,0.0,1.0,0.0,0.0,0.858965453366676,0.0,0.0,1.0,0.0,0.0,0.9241327769820016,0.0,29.391891956329346,0.001,50.0,10.0
45,A,candles-BINANCE,SOL,0.0,1.0,0.0,0.0,0.858965453366676,0.0,0.0,1.0,0.0,0.0,0.9241327769820016,0.0,66.03487801551819,0.001,50.0,100.0
46,A,candles-BINANCE,SOL,0.0,1.0,0.0,0.0,0.858965453366676,0.0,0.0,1.0,0.0,0.0,0.9241327769820016,0.0,63.857499837875366,0.001,150.0,10.0
47,A,candles-BINANCE,SOL,0.0,1.0,0.0,0.0,0.858965453366676,0.0,0.0,1.0,0.0,0.0,0.9241327769820016,0.0,172.89400029182434,0.001,150.0,100.0
48,B,candles-HOUBI,AVAX,0.0077209036316843,0.9978811165103402,0.0128085700978108,0.3552631578947368,0.8220303481660771,0.3846153846153846,0.0077209036316843,0.9978811165103402,0.0128085700978108,0.0151133501259445,0.9014598540145988,0.0247915258057245,15.39483118057251,0.5,50.0,10.0
49,B,candles-HOUBI,AVAX,0.0240205890763511,0.9786416544242288,0.0349324639031206,0.1838074398249453,0.8261585060459348,0.1872659176029962,0.0240205890763511,0.9786416544242288,0.0349324639031206,0.0424886191198786,0.8959586162301971,0.0588812561334641,16.946146965026855,0.5,50.0,100.0
50,B,candles-HOUBI,AVAX,0.0077209036316843,0.9978811165103402,0.0128085700978108,0.3552631578947368,0.8220303481660771,0.3846153846153846,0.0077209036316843,0.9978811165103402,0.0128085700978108,0.0151133501259445,0.9014598540145988,0.0247915258057245,15.459081172943115,0.5,150.0,10.0
51,B,candles-HOUBI,AVAX,0.0240205890763511,0.9786416544242288,0.0349324639031206,0.1838074398249453,0.8261585060459348,0.1872659176029962,0.0240205890763511,0.9786416544242288,0.0349324639031206,0.0424886191198786,0.8959586162301971,0.0588812561334641,16.973339796066284,0.5,150.0,100.0
52,B,candles-HOUBI,AVAX,0.0,1.0,0.0,0.0,0.8195984902864288,0.0,0.0,1.0,0.0,0.0,0.9008564193273356,0.0,21.69128012657165,0.001,50.0,10.0
53,B,candles-HOUBI,AVAX,0.0,1.0,0.0,0.0,0.8195984902864288,0.0,0.0,1.0,0.0,0.0,0.9008564193273356,0.0,51.8207790851593,0.001,50.0,100.0
54,B,candles-HOUBI,AVAX,0.0,1.0,0.0,0.0,0.8195984902864288,0.0,0.0,1.0,0.0,0.0,0.9008564193273356,0.0,44.24848699569702,0.001,150.0,10.0
55,B,candles-HOUBI,AVAX,0.0,1.0,0.0,0.0,0.8195984902864288,0.0,0.0,1.0,0.0,0.0,0.9008564193273356,0.0,134.61230897903442,0.001,150.0,100.0
56,B,candles-HOUBI,BNB,0.0092475830180748,0.9984360578402216,0.0077562326869806,0.2972972972972973,0.9044522377313792,0.2456140350877192,0.0092475830180748,0.9984360578402216,0.0077562326869806,0.0179372197309417,0.9491232132194344,0.0150375939849624,15.529929161071776,0.5,50.0,10.0
57,B,candles-HOUBI,BNB,0.0134510298444724,0.9962567941749564,0.0155124653739612,0.2302158273381295,0.905316620847118,0.2204724409448819,0.0134510298444724,0.9962567941749564,0.0155124653739612,0.0254169976171564,0.9486121621951518,0.0289855072463768,17.27674698829651,0.5,50.0,100.0
58,B,candles-HOUBI,BNB,0.0092475830180748,0.9984360578402216,0.0077562326869806,0.2972972972972973,0.9044522377313792,0.2456140350877192,0.0092475830180748,0.9984360578402216,0.0077562326869806,0.0179372197309417,0.9491232132194344,0.0150375939849624,15.28132700920105,0.5,150.0,10.0
59,B,candles-HOUBI,BNB,0.0134510298444724,0.9962567941749564,0.0155124653739612,0.2302158273381295,0.905316620847118,0.2204724409448819,0.0134510298444724,0.9962567941749564,0.0155124653739612,0.0254169976171564,0.9486121621951518,0.0289855072463768,16.89835023880005,0.5,150.0,100.0
60,B,candles-HOUBI,BNB,0.0,1.0,0.0,0.0,0.903121237380754,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,21.56498980522156,0.001,50.0,10.0
61,B,candles-HOUBI,BNB,0.0,1.0,0.0,0.0,0.903121237380754,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,52.44656586647034,0.001,50.0,100.0
62,B,candles-HOUBI,BNB,0.0,1.0,0.0,0.0,0.903121237380754,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,44.30083107948303,0.001,150.0,10.0
63,B,candles-HOUBI,BNB,0.0,1.0,0.0,0.0,0.903121237380754,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,136.06933403015137,0.001,150.0,100.0
64,B,candles-HOUBI,DOGE,0.0091282519397535,0.9989702399340954,0.0120761727821644,0.4,0.9010146980286532,0.3661971830985915,0.0091282519397535,0.9989702399340954,0.0120761727821644,0.0178491744756805,0.9474673731244888,0.0233812949640287,14.985581159591677,0.5,50.0,10.0
